Daniel ZETZSCHE POSITION,Daniel ZETZSCHE LAP TIME,Daniel ZETZSCHE ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME
3,13.70,13.70,1,13.45,13.45,2,13.57,13.57,4,13.88,13.88
3,10.12,23.82,1,10.18,23.63,2,10.14,23.71,4,10.03,23.91
3,10.00,33.82,1,10.00,33.63,2,10.02,33.73,4,10.04,33.95
3,9.72,43.54,2,9.79,43.42,1,9.53,43.26,4,9.59,43.54
4,9.37,52.91,3,9.38,52.80,1,9.41,52.67,2,9.19,52.73
4,9.22,1:02.13,3,9.27,1:02.07,2,9.19,1:01.86,1,9.02,1:01.75
4,9.30,1:11.43,3,9.30,1:11.37,2,9.18,1:11.04,1,9.15,1:10.90
3,9.66,1:21.09,4,9.73,1:21.10,2,9.40,1:20.44,1,9.25,1:20.15
3,9.66,1:30.743,4,10.33,1:31.428,2,9.69,1:30.124,1,9.61,1:29.761
