WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Patrick DUFFY POSITION,Patrick DUFFY LAP TIME,Patrick DUFFY ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME
1,13.46,13.46,3,13.54,13.54,4,13.78,13.78,2,13.50,13.50
3,10.92,24.38,2,10.82,24.36,4,10.78,24.56,1,10.73,24.23
2,9.94,34.32,3,9.98,34.34,4,9.98,34.54,1,10.04,34.27
1,9.54,43.86,2,9.53,43.87,4,9.47,44.01,3,9.64,43.91
2,9.22,53.08,1,9.11,52.98,4,9.31,53.32,3,9.27,53.18
2,8.79,1:01.87,1,8.79,1:01.77,4,8.82,1:02.14,3,8.82,1:02.00
4,26.98,1:28.85,1,8.97,1:10.74,2,9.13,1:11.27,3,18.29,1:20.29
4,1:01.76,2:30.61,1,9.32,1:20.06,2,15.12,1:26.39,3,31.55,1:51.84
0,,PEN,1,10.19,1:30.246,2,14.78,1:41.170,3,24.43,2:16.267
