Takafumi NISHITANI POSITION,Takafumi NISHITANI LAP TIME,Takafumi NISHITANI ELAPSED TIME,Jonathan GUILMETTE POSITION,Jonathan GUILMETTE LAP TIME,Jonathan GUILMETTE ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME
1,6.261,6.261,2,6.602,6.602,3,6.696,6.696,5,6.906,6.906,4,6.704,6.704
2,9.096,15.357,4,9.064,15.665,3,8.736,15.431,1,8.449,15.355,5,9.204,15.908
5,19.335,34.691,3,8.814,24.479,4,9.230,24.661,1,8.956,24.310,2,8.461,24.369
5,11.463,46.154,2,8.792,33.270,3,8.719,33.379,4,9.075,33.385,1,8.784,33.152
3,11.49,57.643,1,9.12,42.388,0,,DQ,0,,DQ,2,9.28,42.426
