Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,STORMOWSKA Kamila POSITION,STORMOWSKA Kamila LAP TIME,STORMOWSKA Kamila ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME
1,7.42,7.42,2,7.60,7.60,3,7.81,,4,7.97,7.97,5,8.08,8.08
1,9.62,17.04,2,9.53,17.13,3,9.40,,4,9.41,17.38,5,9.48,17.56
5,23.30,40.34,1,8.96,26.09,4,18.26,,2,8.87,26.25,3,8.82,26.38
5,27.95,1:08.29,1,9.26,35.35,4,16.58,,2,9.12,35.37,3,9.04,35.42
5,20.00,1:28.29,2,9.69,45.04,4,14.35,,1,9.59,44.96,3,21.93,57.350
