LIU Yang POSITION,LIU Yang LAP TIME,LIU Yang ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,NOH Do Hee POSITION,NOH Do Hee LAP TIME,NOH Do Hee ELAPSED TIME
1,7.24,7.24,2,7.35,7.35,3,7.45,7.45,4,7.90,7.90
1,9.44,16.68,2,9.42,16.77,3,9.55,17.00,4,9.38,17.28
1,9.05,25.73,2,9.03,25.80,4,9.05,26.05,3,8.73,26.01
2,9.15,34.88,1,8.95,34.75,4,23.78,49.83,3,8.96,34.97
3,9.28,44.158,1,9.14,43.882,4,21.48,1:11.31,2,9.03,43.999
