AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME
2,12.59,,1,12.53,12.53,3,12.70,12.70,5,13.00,13.00,4,12.87,12.87
2,9.50,,1,9.46,21.99,3,9.47,22.17,5,9.38,22.38,4,9.42,22.29
2,9.15,,1,9.16,31.15,3,9.15,31.32,4,8.97,31.35,5,9.16,31.45
1,8.74,,5,9.48,40.63,2,8.73,40.05,4,8.92,40.27,3,8.69,40.14
1,9.07,,5,9.75,50.38,3,9.08,49.13,2,8.85,49.12,4,9.08,49.22
1,8.95,,5,9.77,1:00.15,3,9.04,58.17,2,8.94,58.06,4,9.09,58.31
1,9.03,,5,10.15,1:10.30,3,9.00,1:07.17,2,9.02,1:07.08,4,8.92,1:07.23
2,9.16,,5,10.80,1:21.10,3,9.12,1:16.29,1,9.10,1:16.18,4,9.16,1:16.39
4,12.74,,4,11.84,1:32.902,0,,PHOTO,1,9.29,1:25.47,3,,1:25.756
