ROKITA Sebastian POSITION,ROKITA Sebastian LAP TIME,ROKITA Sebastian ELAPSED TIME,Urban KALSEK POSITION,Urban KALSEK LAP TIME,Urban KALSEK ELAPSED TIME,THAKUR SANDEEP Singh POSITION,THAKUR SANDEEP Singh LAP TIME,THAKUR SANDEEP Singh ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Sergei KASTOV POSITION,Sergei KASTOV LAP TIME,Sergei KASTOV ELAPSED TIME,Ivan DOLINIC POSITION,Ivan DOLINIC LAP TIME,Ivan DOLINIC ELAPSED TIME
1,8.507,8.507,4,9.188,9.188,6,9.704,9.704,2,8.879,8.879,3,8.938,8.938,5,9.384,9.384
1,11.469,19.975,5,11.549,20.737,6,12.201,21.904,2,11.201,20.079,3,11.436,20.373,4,11.278,20.662
1,11.060,31.035,5,11.291,32.028,6,11.806,33.709,2,11.239,31.318,3,11.136,31.508,4,10.965,31.626
1,11.678,42.712,5,11.434,43.462,6,12.071,45.780,2,11.554,42.872,3,11.638,43.146,4,11.589,43.214
1,12.467,55.179,5,12.431,55.892,6,12.068,57.848,2,12.471,55.342,3,12.359,55.504,4,12.450,55.664
1,13.009,1:08.188,5,13.097,1:08.988,6,12.983,1:10.831,2,13.174,1:08.516,3,13.155,1:08.659,4,13.044,1:08.707
1,12.680,1:20.868,5,12.884,1:21.872,6,12.846,1:23.676,2,12.607,1:21.122,3,12.675,1:21.333,4,12.768,1:21.475
2,11.597,1:32.465,5,11.724,1:33.595,6,12.430,1:36.106,1,11.314,1:32.436,3,11.229,1:32.562,4,11.320,1:32.795
3,10.405,1:42.869,5,11.103,1:44.698,6,13.101,1:49.206,2,9.903,1:42.338,1,9.154,1:41.715,4,10.307,1:43.101
4,10.336,1:53.205,5,11.905,1:56.603,6,15.308,2:04.513,2,9.851,1:52.189,1,9.764,1:51.479,3,10.000,1:53.101
4,10.497,2:03.701,5,13.261,2:09.863,6,13.420,2:17.933,2,9.849,2:02.037,1,10.002,2:01.480,3,10.181,2:03.282
4,11.085,2:14.786,5,16.590,2:26.453,6,13.088,2:31.021,2,10.001,2:12.037,1,10.470,2:11.949,3,10.556,2:13.837
4,11.344,2:26.129,5,9.517,2:35.969,6,12.897,2:43.917,2,10.701,2:22.738,1,10.786,2:22.735,3,10.698,2:24.534
4,12.35,2:38.470,5,16.73,2:52.697,6,21.43,3:05.345,1,10.57,2:33.306,2,11.27,2:34.005,3,11.23,2:35.758
