KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,REN Haobo POSITION,REN Haobo LAP TIME,REN Haobo ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME
4,13.18,13.18,2,13.08,13.08,1,12.96,12.96,5,13.34,13.34,3,13.15,13.15
4,10.21,23.39,1,10.04,23.12,2,10.26,23.22,5,10.24,23.58,3,10.15,23.30
4,10.26,33.65,1,10.25,33.37,2,10.25,33.47,5,10.26,33.84,3,10.23,33.53
3,9.56,43.21,1,9.70,43.07,4,9.80,43.27,5,9.51,43.35,2,9.64,43.17
1,8.81,52.02,2,9.14,52.21,5,9.33,52.60,4,9.15,52.50,3,9.20,52.37
1,8.93,1:00.95,2,8.83,1:01.04,5,9.14,1:01.74,3,8.74,1:01.24,4,9.03,1:01.40
1,8.97,1:09.92,2,8.96,1:10.00,5,9.19,1:10.93,3,8.97,1:10.21,4,9.18,1:10.58
1,9.13,1:19.05,2,9.15,1:19.15,5,9.47,1:20.40,3,9.02,1:19.23,4,9.48,1:20.06
1,9.45,1:28.50,2,9.41,1:28.56,5,9.88,1:30.28,3,9.51,1:28.74,4,9.90,1:29.96
