Klaudio NASRI POSITION,Klaudio NASRI LAP TIME,Klaudio NASRI ELAPSED TIME,Jacob JANSSON POSITION,Jacob JANSSON LAP TIME,Jacob JANSSON ELAPSED TIME,Ivan MOJSILOVIC POSITION,Ivan MOJSILOVIC LAP TIME,Ivan MOJSILOVIC ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME
2,13.02,13.02,1,12.94,12.94,4,13.17,13.17,3,13.13,13.13
2,10.66,23.68,1,10.62,23.56,4,10.77,23.94,3,10.64,23.77
3,10.67,34.35,1,10.52,34.08,4,10.58,34.52,2,10.46,34.23
3,10.17,44.52,1,10.23,44.31,4,10.32,44.84,2,10.19,44.42
3,9.89,54.41,1,10.00,54.31,4,10.31,55.15,2,9.98,54.40
3,9.73,1:04.14,1,9.71,1:04.02,4,10.50,1:05.65,2,9.63,1:04.03
2,9.42,1:13.56,3,9.70,1:13.72,4,10.71,1:16.36,1,9.26,1:13.29
2,9.66,1:23.22,3,9.87,1:23.59,4,10.93,1:27.29,1,9.32,1:22.61
2,9.91,1:33.126,3,10.91,1:34.500,4,11.26,1:38.545,1,9.94,1:32.544
