HEO Andrew POSITION,HEO Andrew LAP TIME,HEO Andrew ELAPSED TIME,TENZER Robin POSITION,TENZER Robin LAP TIME,TENZER Robin ELAPSED TIME,DUBOIS Steven POSITION,DUBOIS Steven LAP TIME,DUBOIS Steven ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME,GIORDANO Marco POSITION,GIORDANO Marco LAP TIME,GIORDANO Marco ELAPSED TIME
1,12.42,12.42,4,12.80,12.80,2,12.53,12.53,3,12.73,,5,12.94,12.94
1,9.38,21.80,4,9.37,22.17,2,9.36,21.89,3,9.32,,5,9.35,22.29
1,9.13,30.93,5,9.18,31.35,2,9.12,31.01,3,9.08,,4,8.95,31.24
1,9.13,40.06,5,9.12,40.47,2,9.12,40.13,3,9.15,,4,9.10,40.34
2,9.12,49.18,5,9.31,49.78,1,8.88,49.01,3,8.91,,4,9.02,49.36
2,9.24,58.42,5,9.55,59.33,1,9.20,58.21,3,9.35,,4,9.39,58.75
4,9.32,1:07.74,5,9.91,1:09.24,1,9.12,1:07.33,2,9.02,,3,8.98,1:07.73
4,9.68,1:17.42,5,10.44,1:19.68,1,9.10,1:16.43,2,9.26,,3,9.19,1:16.92
4,10.13,1:27.55,5,11.21,1:30.89,1,9.32,1:25.75,2,9.43,,3,9.48,1:26.40
