Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Tomas GRESCHNER POSITION,Tomas GRESCHNER LAP TIME,Tomas GRESCHNER ELAPSED TIME,Matthew FULLER POSITION,Matthew FULLER LAP TIME,Matthew FULLER ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,ZHANG Zhiqiang POSITION,ZHANG Zhiqiang LAP TIME,ZHANG Zhiqiang ELAPSED TIME
1,8.226,8.226,3,8.539,8.539,5,8.690,8.690,6,8.832,8.832,2,8.444,8.444,4,8.543,8.543
2,11.703,19.929,4,11.598,20.137,5,11.601,20.291,6,11.687,20.519,3,11.640,20.084,1,11.238,19.781
2,11.367,31.295,1,10.810,30.947,5,11.278,31.570,6,11.346,31.865,4,11.343,31.428,3,11.533,31.314
3,10.873,42.169,1,10.912,41.858,5,10.803,42.372,6,10.722,42.587,2,10.481,41.909,4,10.872,42.187
4,11.049,53.218,1,10.941,52.799,5,11.116,53.488,6,11.085,53.672,3,11.237,53.146,2,10.869,53.056
4,10.481,1:03.699,3,10.796,1:03.595,5,10.431,1:03.919,6,10.506,1:04.178,2,10.436,1:03.583,1,10.425,1:03.481
5,10.120,1:13.818,1,9.863,1:13.458,4,9.885,1:13.803,6,9.871,1:14.049,3,10.128,1:13.710,2,10.002,1:13.483
5,10.058,1:23.876,2,10.120,1:23.578,4,10.064,1:23.867,6,10.140,1:24.189,3,9.999,1:23.709,1,10.076,1:23.559
4,9.583,1:33.459,1,9.439,1:33.017,5,9.806,1:33.673,6,9.689,1:33.877,3,9.673,1:33.382,2,9.569,1:33.128
4,9.426,1:42.885,1,9.473,1:42.490,5,9.568,1:43.241,6,9.452,1:43.329,2,9.380,1:42.762,3,9.635,1:42.763
3,9.357,1:52.243,2,9.586,1:52.077,5,9.346,1:52.587,6,9.443,1:52.773,4,9.526,1:52.288,1,9.133,1:51.896
3,9.157,2:01.400,2,9.284,2:01.361,5,9.435,2:02.022,6,9.527,2:02.300,4,9.185,2:01.473,1,9.244,2:01.140
3,9.076,2:10.476,2,9.103,2:10.464,5,9.404,2:11.426,6,9.665,2:11.964,4,9.543,2:11.016,1,9.324,2:10.464
1,9.024,2:19.500,3,9.666,2:20.129,5,10.058,2:21.483,6,10.071,2:22.035,4,9.264,2:20.280,2,9.491,2:19.955
