Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME
4,8.36,8.36,3,8.29,8.29,1,8.23,8.23,2,8.26,8.26,5,8.49,8.49,6,8.81,8.81
1,11.59,19.95,4,11.90,20.19,3,11.96,20.19,2,11.75,20.01,5,11.88,20.37,6,11.71,20.52
1,11.44,31.39,2,11.30,31.49,4,11.38,31.57,3,11.49,31.50,5,11.38,31.75,6,11.37,31.89
2,10.49,41.88,4,10.60,42.09,1,10.24,41.81,3,10.45,41.95,5,10.48,42.23,6,10.50,42.39
2,10.75,52.63,3,10.78,52.87,1,10.74,52.55,5,10.95,52.90,6,10.82,53.05,4,10.50,52.89
3,10.62,1:03.25,2,10.38,1:03.25,1,10.60,1:03.15,5,10.57,1:03.47,6,10.57,1:03.62,4,10.57,1:03.46
6,24.07,1:27.32,2,10.27,1:13.52,1,10.23,1:13.38,3,10.31,1:13.78,4,10.27,1:13.89,5,10.67,1:14.13
6,12.62,1:39.94,2,10.60,1:24.12,1,10.65,1:24.03,3,10.46,1:24.24,4,10.45,1:24.34,5,10.34,1:24.47
6,11.28,1:51.22,2,10.85,1:34.97,1,10.77,1:34.80,3,10.84,1:35.08,4,10.83,1:35.17,5,10.82,1:35.29
6,11.13,2:02.35,2,10.51,1:45.48,1,10.58,1:45.38,3,10.52,1:45.60,4,10.55,1:45.72,5,10.58,1:45.87
6,12.20,2:14.55,3,10.40,1:55.88,1,10.25,1:55.63,2,10.15,1:55.75,4,10.27,1:55.99,5,10.35,1:56.22
6,12.72,2:27.27,3,9.96,2:05.84,1,9.74,2:05.37,2,9.86,2:05.61,4,9.97,2:05.96,5,10.61,2:06.83
6,12.20,2:39.47,3,9.82,2:15.66,1,9.66,2:15.03,2,9.79,2:15.40,4,9.90,2:15.86,5,11.29,2:18.12
4,13.44,2:52.910,0,,PEN,1,10.00,2:25.028,2,10.03,2:25.423,3,10.17,2:26.030,0,,PEN
