Francesco PALLA POSITION,Francesco PALLA LAP TIME,Francesco PALLA ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Ademir BABAIC POSITION,Ademir BABAIC LAP TIME,Ademir BABAIC ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME,Armstrong LAZENBY POSITION,Armstrong LAZENBY LAP TIME,Armstrong LAZENBY ELAPSED TIME
3,10.14,10.14,2,10.06,10.06,6,10.35,10.35,5,10.24,10.24,4,10.18,10.18,1,10.03,10.03
2,12.08,22.22,3,12.28,22.34,6,12.81,23.16,4,12.38,22.62,5,12.73,22.91,1,12.07,22.10
2,10.62,32.84,3,10.65,32.99,6,10.32,33.48,4,10.49,33.11,5,10.36,33.27,1,10.63,32.73
2,10.40,43.24,3,10.36,43.35,6,10.50,43.98,4,10.36,43.47,5,10.29,43.56,1,10.39,43.12
2,10.53,53.77,3,10.53,53.88,6,10.35,54.33,4,10.53,54.00,5,10.57,54.13,1,10.56,53.68
2,10.76,1:04.53,4,10.76,1:04.64,6,10.67,1:05.00,3,10.63,1:04.63,5,10.71,1:04.84,1,10.76,1:04.44
3,11.28,1:15.81,2,11.15,1:15.79,6,11.17,1:16.17,4,11.26,1:15.89,5,11.13,1:15.97,1,11.27,1:15.71
5,10.89,1:26.70,4,10.90,1:26.69,6,10.82,1:26.99,3,10.72,1:26.61,1,10.51,1:26.48,2,10.78,1:26.49
3,10.16,1:36.86,4,10.20,1:36.89,6,10.42,1:37.41,2,10.13,1:36.74,1,10.13,1:36.61,5,10.40,1:36.89
4,10.09,1:46.95,1,9.69,1:46.58,6,10.32,1:47.73,2,9.92,1:46.66,3,10.12,1:46.73,5,10.36,1:47.25
4,9.96,1:56.91,1,9.97,1:56.55,6,10.77,1:58.50,2,9.98,1:56.64,3,10.08,1:56.81,5,10.38,1:57.63
4,10.04,2:06.95,1,10.03,2:06.58,6,10.78,2:09.28,2,10.06,2:06.70,3,10.03,2:06.84,5,10.59,2:08.22
4,10.49,2:17.44,1,10.59,2:17.17,6,11.38,2:20.66,2,10.50,2:17.20,3,10.49,2:17.33,5,11.13,2:19.35
3,10.33,2:27.762,4,10.85,2:28.019,6,11.50,2:32.152,1,10.15,2:27.341,2,10.27,2:27.595,5,10.93,2:30.277
