Viktor KOROLOV POSITION,Viktor KOROLOV LAP TIME,Viktor KOROLOV ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,KIM Byeong Jun POSITION,KIM Byeong Jun LAP TIME,KIM Byeong Jun ELAPSED TIME,Inan EREN POSITION,Inan EREN LAP TIME,Inan EREN ELAPSED TIME
3,13.48,13.48,4,13.58,13.58,2,13.37,13.37,1,13.25,13.25,5,13.67,13.67
3,9.88,23.36,4,9.87,23.45,2,9.82,23.19,1,9.81,23.06,5,9.96,23.63
4,9.87,33.23,3,9.61,33.06,2,9.80,32.99,1,9.82,32.88,5,9.90,33.53
4,9.63,42.86,3,9.62,42.68,2,9.58,42.57,1,9.59,42.47,5,9.85,43.38
4,9.38,52.24,3,9.29,51.97,2,9.33,51.90,1,9.27,51.74,5,10.03,53.41
4,9.43,1:01.67,3,9.21,1:01.18,2,9.16,1:01.06,1,9.20,1:00.94,5,10.59,1:04.00
4,9.91,1:11.58,3,9.18,1:10.36,2,9.16,1:10.22,1,9.20,1:10.14,5,10.98,1:14.98
4,10.15,1:21.73,3,9.34,1:19.70,1,9.32,1:19.54,2,9.48,1:19.62,5,10.96,1:25.94
3,11.00,1:32.726,2,10.42,1:30.120,0,,PEN,1,9.64,1:29.259,4,11.24,1:37.174
