DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Thomas Insuk HONG POSITION,Thomas Insuk HONG LAP TIME,Thomas Insuk HONG ELAPSED TIME,GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME
1,13.77,13.77,2,13.88,13.88,2,13.88,,5,14.05,14.05,4,14.02,14.02
2,10.15,23.92,3,10.07,23.95,4,10.23,,5,10.18,24.23,1,9.84,23.86
3,10.05,33.97,2,9.96,33.91,4,10.04,,5,10.07,34.30,1,10.02,33.88
1,9.30,43.27,3,9.51,43.42,4,9.39,,5,9.36,43.66,2,9.47,43.35
1,9.44,52.71,3,9.45,52.87,4,9.48,,5,9.52,53.18,1,9.36,52.71
2,9.25,1:01.96,3,9.18,1:02.05,4,9.14,,5,9.31,1:02.49,1,9.19,1:01.90
2,9.21,1:11.17,3,9.21,1:11.26,4,9.15,,5,9.55,1:12.04,1,9.15,1:11.05
2,9.14,1:20.31,4,10.23,1:21.49,3,9.35,,5,9.91,1:21.95,1,9.13,1:20.18
2,9.30,1:29.61,4,9.93,1:31.42,3,9.51,,5,10.24,1:32.19,1,9.27,1:29.45
