DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,WATANABE Aoi POSITION,WATANABE Aoi LAP TIME,WATANABE Aoi ELAPSED TIME,JACOBS Gina POSITION,JACOBS Gina LAP TIME,JACOBS Gina ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,ZHANG Chutong POSITION,ZHANG Chutong LAP TIME,ZHANG Chutong ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME
6,12.57,12.57,3,11.94,11.94,1,11.44,11.44,4,12.12,12.12,2,11.65,11.65,5,12.35,12.35
6,15.75,28.32,3,15.90,27.84,1,15.97,27.41,4,15.87,27.99,2,16.01,27.66,5,15.82,28.17
6,14.23,42.55,3,14.54,42.38,1,14.60,42.01,5,14.55,42.54,2,14.56,42.22,4,14.25,42.42
1,11.96,54.51,5,12.48,54.86,4,12.74,54.75,6,12.54,55.08,3,12.52,54.74,2,12.25,54.67
1,12.61,1:07.12,6,12.59,1:07.45,3,12.40,1:07.15,5,12.26,1:07.34,2,12.39,1:07.13,4,12.58,1:07.25
3,11.50,1:18.62,5,11.37,1:18.82,1,11.23,1:18.38,6,11.57,1:18.91,2,11.39,1:18.52,4,11.48,1:18.73
1,10.88,1:29.50,5,11.08,1:29.90,3,11.20,1:29.58,6,11.10,1:30.01,4,11.28,1:29.80,2,10.82,1:29.55
1,10.61,1:40.11,5,10.52,1:40.42,3,10.64,1:40.22,6,10.54,1:40.55,4,10.52,1:40.32,1,10.56,1:40.11
1,10.51,1:50.62,5,10.54,1:50.96,4,10.65,1:50.87,6,10.60,1:51.15,3,10.49,1:50.81,2,10.62,1:50.73
2,9.81,2:00.43,4,9.61,2:00.57,5,9.93,2:00.80,6,9.77,2:00.92,1,9.46,2:00.27,3,9.82,2:00.55
2,9.29,2:09.72,4,9.39,2:09.96,5,9.58,2:10.38,6,9.62,2:10.54,1,9.37,2:09.64,3,9.28,2:09.83
2,9.38,2:19.10,4,9.42,2:19.38,5,9.62,2:20.00,6,9.50,2:20.04,1,9.42,2:19.06,3,9.44,2:19.27
2,9.35,2:28.45,4,9.34,2:28.72,6,10.00,2:30.00,5,9.68,2:29.72,1,9.36,2:28.42,3,9.35,2:28.62
1,9.19,2:37.64,4,9.48,2:38.202,6,10.38,2:40.381,5,9.74,2:39.463,2,9.52,2:37.942,3,9.49,2:38.113
