Szandra LAJTOS POSITION,Szandra LAJTOS LAP TIME,Szandra LAJTOS ELAPSED TIME,Mara ZINI POSITION,Mara ZINI LAP TIME,Mara ZINI ELAPSED TIME,Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME,Myrtille GOLLIN POSITION,Myrtille GOLLIN LAP TIME,Myrtille GOLLIN ELAPSED TIME
1,7.350,7.350,3,7.530,7.530,2,7.453,7.453,4,7.915,7.915
1,10.103,17.452,2,10.007,17.537,3,10.104,17.556,4,10.186,18.101
2,10.081,27.533,1,9.859,27.395,3,10.050,27.606,4,9.926,28.027
3,9.660,37.192,1,9.613,37.008,2,9.470,37.076,4,10.055,38.081
3,10.24,47.425,1,10.03,47.032,2,10.08,47.153,4,10.70,48.772
