ANDERMANN Dominic POSITION,ANDERMANN Dominic LAP TIME,ANDERMANN Dominic ELAPSED TIME,AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME,HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME,Michal DOMANSKI POSITION,Michal DOMANSKI LAP TIME,Michal DOMANSKI ELAPSED TIME
3,7.34,7.34,1,6.98,6.98,2,7.09,,4,7.42,7.42
3,9.42,16.76,1,9.13,16.11,2,9.12,,4,9.41,16.83
3,9.03,25.79,1,8.90,25.01,2,8.86,,4,9.01,25.84
2,9.41,35.20,4,20.65,45.66,3,16.26,,1,9.27,35.11
2,9.60,44.80,4,16.45,1:02.11,3,11.74,,1,9.59,44.70
