Hyo-Jung KIM POSITION,Hyo-Jung KIM LAP TIME,Hyo-Jung KIM ELAPSED TIME,YANG A Yang POSITION,YANG A Yang LAP TIME,YANG A Yang ELAPSED TIME,Joanna WILLIAMS POSITION,Joanna WILLIAMS LAP TIME,Joanna WILLIAMS ELAPSED TIME,Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME,Yvonne KUNZE POSITION,Yvonne KUNZE LAP TIME,Yvonne KUNZE ELAPSED TIME,Amanda OVERLAND POSITION,Amanda OVERLAND LAP TIME,Amanda OVERLAND ELAPSED TIME
3,8.991,8.991,6,9.466,9.466,5,9.202,9.202,1,8.771,8.771,4,9.040,9.040,2,8.801,8.801
4,10.941,19.931,6,10.982,20.447,5,10.991,20.193,3,11.066,19.837,2,10.750,19.790,1,10.981,19.781
4,10.742,30.673,6,10.451,30.898,5,10.593,30.786,2,10.673,30.510,1,10.704,30.493,3,10.753,30.533
3,11.119,41.792,6,11.181,42.079,4,11.056,41.842,1,11.123,41.632,5,11.465,41.958,2,11.199,41.732
5,10.499,52.291,6,10.502,52.581,3,10.152,51.994,4,10.471,52.103,1,9.929,51.886,2,10.234,51.965
5,10.212,1:02.503,6,10.140,1:02.720,2,10.159,1:02.152,4,10.205,1:02.308,1,10.218,1:02.104,3,10.246,1:02.211
1,9.992,1:12.494,6,11.176,1:13.896,5,10.545,1:12.697,3,10.245,1:12.553,4,10.491,1:12.595,2,10.340,1:12.550
1,9.557,1:22.051,4,8.493,1:22.388,5,9.851,1:22.547,6,10.079,1:22.631,3,9.757,1:22.352,2,9.703,1:22.252
1,9.984,1:32.034,5,10.014,1:32.401,4,9.839,1:32.385,6,9.923,1:32.553,3,9.925,1:32.277,2,9.915,1:32.167
1,10.133,1:42.166,4,10.141,1:42.542,5,10.204,1:42.588,6,10.095,1:42.648,3,10.187,1:42.463,2,10.218,1:42.385
1,10.259,1:52.425,4,10.140,1:52.681,5,10.306,1:52.894,6,10.312,1:52.960,3,10.166,1:52.628,2,10.051,1:52.436
1,10.306,2:02.731,6,18.973,2:11.653,4,10.627,2:03.521,3,10.424,2:03.383,5,18.466,2:11.094,2,10.607,2:03.043
6,31.160,2:33.890,4,16.486,2:28.139,2,11.544,2:15.064,1,11.263,2:14.646,3,15.794,2:26.887,5,28.558,2:31.601
6,17.98,2:51.862,4,14.34,2:42.474,2,12.69,2:27.752,1,11.85,2:26.496,3,12.68,2:39.561,5,15.15,2:46.751
