Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME
1,6.86,6.86,2,7.04,7.04,4,7.22,7.22,3,7.11,7.11
1,9.13,15.99,2,9.14,16.18,3,9.08,16.30,4,9.31,16.42
1,8.63,24.62,4,8.74,24.92,2,8.46,24.76,3,8.50,24.92
2,8.76,33.38,4,8.90,33.82,1,8.59,33.35,3,8.59,33.51
2,9.01,42.383,4,9.18,42.998,1,8.99,42.340,3,8.97,42.472
