PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,CHOI Ji Hyun POSITION,CHOI Ji Hyun LAP TIME,CHOI Ji Hyun ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,IZAFATAVA Hanna POSITION,IZAFATAVA Hanna LAP TIME,IZAFATAVA Hanna ELAPSED TIME
2,13.65,13.65,3,13.71,13.71,4,13.86,13.86,1,13.55,13.55,5,13.96,13.96
3,10.41,24.06,2,10.32,24.03,4,10.34,24.20,1,10.42,23.97,5,10.35,24.31
3,9.76,33.82,1,9.58,33.61,4,9.73,33.93,2,9.73,33.70,5,9.76,34.07
5,10.06,43.88,1,9.91,43.52,3,9.81,43.74,2,9.92,43.62,4,9.77,43.84
4,9.41,53.29,2,9.55,53.07,3,9.41,53.15,1,9.37,52.99,5,9.57,53.41
4,9.43,1:02.72,2,9.47,1:02.54,3,9.46,1:02.61,1,9.43,1:02.42,5,9.55,1:02.96
4,9.42,1:12.14,2,9.43,1:11.97,3,9.45,1:12.06,1,9.39,1:11.81,5,9.66,1:12.62
2,9.34,1:21.48,4,9.58,1:21.55,3,9.46,1:21.52,1,9.56,1:21.37,5,10.04,1:22.66
2,9.91,1:31.39,4,10.23,1:31.78,3,9.98,1:31.50,1,9.94,1:31.31,5,10.37,1:33.03
