Jumpei YOSHIZAWA POSITION,Jumpei YOSHIZAWA LAP TIME,Jumpei YOSHIZAWA ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME
1,6.692,6.692,3,7.067,7.067,2,6.770,6.770,4,7.094,7.094
1,9.196,15.888,4,9.310,16.376,2,9.180,15.950,3,8.926,16.020
1,8.912,24.800,4,9.079,25.455,3,9.050,24.999,2,8.893,24.912
3,9.374,34.173,4,9.161,34.615,1,8.575,33.573,2,8.713,33.624
3,9.26,43.426,4,9.31,43.918,2,9.51,43.082,1,9.32,42.940
