Andrey SMETANIN POSITION,Andrey SMETANIN LAP TIME,Andrey SMETANIN ELAPSED TIME,Junji ITO POSITION,Junji ITO LAP TIME,Junji ITO ELAPSED TIME,SONG Kyung-Taek POSITION,SONG Kyung-Taek LAP TIME,SONG Kyung-Taek ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME
1,9.780,9.780,2,9.800,9.800,4,10.160,10.160,3,9.970,9.970,5,10.270,10.270
3,14.610,24.390,1,14.460,24.270,4,14.490,24.650,2,14.320,24.300,5,14.480,24.760
3,13.790,38.180,1,13.820,38.090,4,13.670,38.330,2,13.840,38.140,5,13.770,38.530
2,13.860,52.040,1,13.920,52.010,4,14.050,52.380,3,14.140,52.290,5,13.990,52.520
2,14.080,1:06.130,1,13.980,1:05.990,3,13.840,1:06.220,3,13.930,1:06.220,5,13.960,1:06.490
2,13.930,1:20.060,1,14.040,1:20.040,4,14.150,1:20.380,3,14.150,1:20.370,5,14.100,1:20.590
2,13.990,1:34.050,1,13.970,1:34.010,3,13.880,1:34.260,4,13.910,1:34.290,5,14.030,1:34.620
3,12.030,1:46.090,2,12.070,1:46.090,5,12.200,1:46.470,1,11.780,1:46.070,4,11.640,1:46.260
1,10.890,1:56.990,2,11.100,1:57.190,4,10.840,1:57.310,3,11.160,1:57.230,5,11.090,1:57.360
4,10.110,2:07.100,2,9.790,2:06.980,1,9.230,2:06.550,3,9.790,2:07.020,5,9.970,2:07.330
4,9.790,2:16.890,2,9.420,2:16.400,1,9.160,2:15.710,3,9.500,2:16.530,5,9.730,2:17.060
4,9.840,2:26.740,2,9.850,2:26.260,1,9.520,2:25.240,3,9.840,2:26.370,5,9.890,2:26.960
4,10.170,2:36.910,3,10.360,2:36.630,1,9.600,2:34.840,2,9.870,2:36.250,5,10.140,2:37.100
3,10.680,2:47.600,5,11.820,2:48.450,1,10.780,2:45.630,2,10.160,2:46.420,4,10.610,2:47.720
