YEO Jun-Hyung POSITION,YEO Jun-Hyung LAP TIME,YEO Jun-Hyung ELAPSED TIME,Cees JUFFERMANS POSITION,Cees JUFFERMANS LAP TIME,Cees JUFFERMANS ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,Rusty SMITH POSITION,Rusty SMITH LAP TIME,Rusty SMITH ELAPSED TIME,Steve ROBILLARD POSITION,Steve ROBILLARD LAP TIME,Steve ROBILLARD ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME
4,9.169,9.169,2,9.003,9.003,5,9.506,9.506,6,9.797,9.797,1,8.979,8.979,3,9.034,9.034
4,12.843,22.012,3,12.762,21.765,5,12.524,22.029,6,12.356,22.152,1,12.565,21.543,2,12.565,21.598
4,12.260,34.272,2,12.223,33.987,5,12.368,34.397,6,12.495,34.647,1,12.329,33.872,3,12.584,34.182
4,11.399,45.671,2,11.434,45.420,5,11.394,45.790,6,11.356,46.002,3,11.651,45.522,1,11.170,45.351
1,10.045,55.716,3,10.515,55.935,4,10.389,56.178,6,10.400,56.402,2,10.248,55.770,5,10.900,56.251
2,10.462,1:06.177,6,10.535,1:06.470,1,9.995,1:06.173,3,9.833,1:06.235,5,10.578,1:06.347,4,10.033,1:06.284
4,9.971,1:16.147,6,9.958,1:16.427,1,9.769,1:15.941,3,9.901,1:16.135,5,9.904,1:16.251,2,9.822,1:16.105
3,10.135,1:26.281,6,10.291,1:26.717,1,10.137,1:26.078,4,10.293,1:26.428,5,10.313,1:26.563,2,10.031,1:26.136
1,10.033,1:36.314,6,10.070,1:36.787,3,10.269,1:36.346,4,10.027,1:36.454,5,10.142,1:36.705,2,10.201,1:36.336
1,9.626,1:45.940,6,9.707,1:46.493,2,9.716,1:46.062,3,9.775,1:46.228,5,9.608,1:46.312,4,9.964,1:46.300
1,9.853,1:55.793,5,9.628,1:56.121,2,9.746,1:55.807,3,9.583,1:55.811,4,9.544,1:55.856,6,9.927,1:56.227
2,9.480,2:05.273,5,9.782,2:05.903,3,9.506,2:05.312,4,9.644,2:05.454,1,9.246,2:05.101,6,9.856,2:06.083
1,9.271,2:14.544,5,9.850,2:15.753,3,9.625,2:14.937,4,9.617,2:15.070,2,9.666,2:14.766,6,10.085,2:16.167
2,9.91,2:24.452,5,10.32,2:26.069,3,9.94,2:24.873,4,9.88,2:24.945,1,9.53,2:24.290,6,10.19,2:26.350
