BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Jonas KAUFMANN-LUDWIG POSITION,Jonas KAUFMANN-LUDWIG LAP TIME,Jonas KAUFMANN-LUDWIG ELAPSED TIME
2,13.98,13.98,3,14.11,14.11,1,13.42,13.42,4,14.23,14.23
2,9.41,23.39,3,9.39,23.50,1,9.67,23.09,4,9.36,23.59
2,9.29,32.68,3,9.28,32.78,1,9.50,32.59,4,9.29,32.88
2,9.54,42.22,3,9.54,42.32,1,9.53,42.12,4,9.52,42.40
2,9.55,51.77,4,9.70,52.02,1,9.56,51.68,3,9.51,51.91
2,9.56,1:01.33,4,9.44,1:01.46,1,9.61,1:01.29,3,9.51,1:01.42
2,9.76,1:11.09,4,9.76,1:11.22,3,9.82,1:11.11,1,9.51,1:10.93
2,9.34,1:20.43,4,9.67,1:20.89,3,9.74,1:20.85,1,9.37,1:20.30
1,9.16,1:29.584,3,9.24,1:30.130,4,10.01,1:30.856,2,9.53,1:29.830
