LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,YANG Jin POSITION,YANG Jin LAP TIME,YANG Jin ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME
3,6.99,6.99,1,6.82,6.82,2,6.95,6.95,4,7.12,7.12
3,9.22,16.21,2,9.26,16.08,1,9.10,16.05,4,9.22,16.34
3,8.69,24.90,2,8.74,24.82,1,8.67,24.72,4,8.65,24.99
3,8.67,33.57,2,8.72,33.54,1,8.70,33.42,4,8.70,33.69
2,8.70,42.269,4,8.95,42.481,1,8.83,42.245,3,8.61,42.297
