PARK Jang Hyuk POSITION,PARK Jang Hyuk LAP TIME,PARK Jang Hyuk ELAPSED TIME,Liam O'BRIEN POSITION,Liam O'BRIEN LAP TIME,Liam O'BRIEN ELAPSED TIME,Davut TAHTACI POSITION,Davut TAHTACI LAP TIME,Davut TAHTACI ELAPSED TIME,MOODY Jonathan POSITION,MOODY Jonathan LAP TIME,MOODY Jonathan ELAPSED TIME,Cyprien VACHERON POSITION,Cyprien VACHERON LAP TIME,Cyprien VACHERON ELAPSED TIME
1,10.40,10.40,2,10.56,10.56,4,10.81,10.81,3,10.59,10.59,5,11.02,
1,16.18,26.58,3,16.33,26.89,4,16.20,27.01,2,16.14,26.73,5,16.20,
1,15.55,42.13,4,15.49,42.38,5,15.46,42.47,2,15.51,42.24,2,15.02,
2,13.15,55.28,3,13.01,55.39,5,13.00,55.47,4,13.17,55.41,1,12.70,
3,12.04,1:07.32,2,11.80,1:07.19,5,12.03,1:07.50,4,12.00,1:07.41,1,12.13,
4,11.95,1:19.27,3,11.80,1:18.99,5,11.93,1:19.43,1,11.51,1:18.92,2,11.90,
2,11.41,1:30.68,5,11.82,1:30.81,4,11.34,1:30.77,1,11.67,1:30.59,2,11.71,
1,10.27,1:40.95,5,10.72,1:41.53,2,10.29,1:41.06,3,10.62,1:41.21,4,10.71,
1,10.26,1:51.21,5,10.14,1:51.67,2,10.26,1:51.32,3,10.26,1:51.47,4,10.20,
1,9.90,2:01.11,5,9.89,2:01.56,2,9.91,2:01.23,3,9.81,2:01.28,4,9.83,
1,9.52,2:10.63,5,9.54,2:11.10,3,9.69,2:10.92,2,9.44,2:10.72,4,9.54,
1,9.23,2:19.86,5,9.54,2:20.64,4,9.55,2:20.47,2,9.29,2:20.01,3,9.26,
1,9.07,2:28.93,5,9.63,2:30.27,4,9.65,2:30.12,2,9.18,2:29.19,3,9.19,
1,9.15,2:38.08,0,,PHOTO,0,,PHOTO,2,9.44,2:38.63,3,9.38,
