Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,KIM Min-Jung POSITION,KIM Min-Jung LAP TIME,KIM Min-Jung ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME,KONG Xue POSITION,KONG Xue LAP TIME,KONG Xue ELAPSED TIME
6,9.26,9.26,2,8.71,8.71,5,9.09,9.09,4,8.89,8.89,1,8.57,8.57,3,8.82,8.82
6,11.58,20.84,2,11.69,20.40,4,11.52,20.61,5,11.76,20.65,1,11.71,20.28,3,11.70,20.52
6,10.83,31.67,3,10.89,31.29,2,10.62,31.23,5,10.89,31.54,1,10.94,31.22,4,10.91,31.43
6,10.28,41.95,4,10.45,41.74,2,10.39,41.62,5,10.30,41.84,3,10.49,41.71,1,10.15,41.58
5,10.09,52.04,6,10.41,52.15,2,10.11,51.73,4,10.11,51.95,3,10.10,51.81,1,10.01,51.59
5,10.37,1:02.41,6,10.37,1:02.52,2,10.38,1:02.11,4,10.37,1:02.32,3,10.39,1:02.20,1,10.39,1:01.98
5,10.22,1:12.63,6,10.28,1:12.80,3,10.36,1:12.47,4,10.27,1:12.59,2,10.14,1:12.34,1,10.27,1:12.25
5,10.22,1:22.85,6,10.18,1:22.98,3,10.11,1:22.58,4,10.13,1:22.72,2,10.22,1:22.56,1,10.19,1:22.44
5,9.92,1:32.77,6,9.86,1:32.84,1,9.83,1:32.41,4,10.03,1:32.75,3,10.08,1:32.64,2,10.16,1:32.60
6,10.11,1:42.88,5,9.98,1:42.82,1,10.06,1:42.47,4,9.95,1:42.70,3,9.97,1:42.61,2,9.95,1:42.55
6,10.06,1:52.94,4,9.91,1:52.73,5,10.31,1:52.78,3,10.01,1:52.71,2,9.95,1:52.56,1,9.92,1:52.47
5,9.89,2:02.83,2,9.88,2:02.61,6,10.33,2:03.11,4,9.93,2:02.64,3,10.05,2:02.61,1,9.89,2:02.36
4,10.17,2:13.00,2,9.81,2:12.42,6,10.46,2:13.57,5,10.82,2:13.46,3,10.13,2:12.74,1,10.02,2:12.38
4,10.00,2:22.992,1,10.14,2:22.551,5,10.59,2:24.154,6,11.41,2:24.865,3,9.96,2:22.698,2,10.24,2:22.619
