KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,SIGHEL Arianna POSITION,SIGHEL Arianna LAP TIME,SIGHEL Arianna ELAPSED TIME,Mariya IZAFATAVA POSITION,Mariya IZAFATAVA LAP TIME,Mariya IZAFATAVA ELAPSED TIME
1,13.81,13.81,2,13.92,13.92,4,14.02,14.02,3,13.99,13.99,5,14.13,
2,10.05,23.86,1,9.88,23.80,3,9.95,23.97,4,10.11,24.10,5,10.07,
2,9.85,33.71,1,9.81,33.61,3,9.82,33.79,4,9.80,33.90,5,9.80,
2,9.83,43.54,1,9.84,43.45,3,9.87,43.66,4,9.87,43.77,5,9.85,
2,9.41,52.95,1,9.48,52.93,3,9.46,53.12,4,9.47,53.24,5,9.44,
2,9.56,1:02.51,1,9.47,1:02.40,3,9.56,1:02.68,4,9.45,1:02.69,5,9.43,
2,9.60,1:12.11,1,9.61,1:12.01,3,9.51,1:12.19,4,9.91,1:12.60,5,10.30,
2,9.77,1:21.88,1,9.71,1:21.72,3,9.81,1:22.00,4,9.79,1:22.39,5,10.54,
2,9.88,1:31.76,1,9.98,1:31.70,3,9.88,1:31.882,4,10.11,1:32.503,5,10.82,
