OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,JIA Haidong POSITION,JIA Haidong LAP TIME,JIA Haidong ELAPSED TIME,AN Kai POSITION,AN Kai LAP TIME,AN Kai ELAPSED TIME
2,13.17,13.17,4,13.34,13.34,1,13.09,13.09,3,13.29,13.29
2,9.59,22.76,4,9.70,23.04,3,9.78,22.87,1,9.25,22.54
2,9.32,32.08,4,9.23,32.27,3,9.24,32.11,1,9.45,31.99
4,9.21,41.29,3,8.95,41.22,1,8.96,41.07,2,9.21,41.20
4,9.01,50.30,2,8.92,50.14,1,9.02,50.09,3,8.97,50.17
4,9.00,59.30,3,9.03,59.17,1,8.85,58.94,2,8.88,59.05
4,9.25,1:08.55,3,9.05,1:08.22,1,9.07,1:08.01,2,9.08,1:08.13
4,9.46,1:18.01,2,9.12,1:17.34,3,9.36,1:17.37,1,9.17,1:17.30
4,10.10,1:28.085,2,9.48,1:26.811,3,9.72,1:27.075,1,9.49,1:26.778
