LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,CHENG Eric I POSITION,CHENG Eric I LAP TIME,CHENG Eric I ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,Fumihiko KAKUBARI POSITION,Fumihiko KAKUBARI LAP TIME,Fumihiko KAKUBARI ELAPSED TIME
4,15.280,15.280,3,15.027,15.027,2,14.989,14.989,1,14.915,14.915
3,12.448,27.728,4,12.943,27.969,1,12.514,27.502,2,12.625,27.540
4,10.957,38.685,3,10.624,38.592,2,11.023,38.525,1,10.939,38.479
3,10.033,48.717,4,10.198,48.790,1,9.987,48.512,2,10.074,48.552
4,9.624,58.340,3,9.509,58.298,1,9.373,57.884,2,9.484,58.036
4,8.772,1:07.111,2,8.800,1:07.098,1,8.802,1:06.685,3,9.062,1:07.098
2,8.620,1:15.731,4,9.629,1:16.727,1,8.856,1:15.540,3,8.656,1:15.753
1,8.597,1:24.328,4,9.833,1:26.559,2,8.964,1:24.504,3,8.961,1:24.713
1,8.88,1:33.201,4,9.79,1:36.345,2,9.30,1:33.797,3,9.16,1:33.867
