Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME,YE Liming POSITION,YE Liming LAP TIME,YE Liming ELAPSED TIME,TEKSE Csongor POSITION,TEKSE Csongor LAP TIME,TEKSE Csongor ELAPSED TIME,Ian UPCOTT POSITION,Ian UPCOTT LAP TIME,Ian UPCOTT ELAPSED TIME,Gianluigi NOVER POSITION,Gianluigi NOVER LAP TIME,Gianluigi NOVER ELAPSED TIME
0,10.623,10.623,0,10.757,10.757,0,10.684,10.684,0,10.186,10.186,0,,
0,13.834,24.457,0,14.037,24.794,0,13.945,24.630,0,14.218,24.404,0,,24.153
0,13.248,37.705,0,13.062,37.856,0,13.086,37.716,0,12.938,37.342,0,13.252,37.405
0,12.203,49.907,0,11.858,49.714,0,12.163,49.879,0,12.276,49.618,0,12.241,49.646
0,10.230,1:00.138,0,10.062,59.775,0,10.409,1:00.288,0,10.245,59.862,0,10.235,59.881
0,10.138,1:10.276,0,10.374,1:10.150,0,10.916,1:11.204,0,10.159,1:10.021,0,9.991,1:09.871
0,10.811,1:21.087,0,10.829,1:20.978,0,10.695,1:21.899,0,10.710,1:20.731,0,11.016,1:20.888
0,11.053,1:32.140,0,11.589,1:32.567,0,11.077,1:32.976,0,11.148,1:31.880,0,10.925,1:31.813
0,10.957,1:43.097,0,10.384,1:42.952,0,19.015,1:51.991,0,11.062,1:42.941,0,11.150,1:42.963
0,9.777,1:52.874,0,15.723,1:58.675,0,16.674,2:08.665,0,10.075,1:53.017,0,10.091,1:53.054
0,9.436,2:02.310,0,10.498,2:09.173,0,13.357,2:22.023,0,9.647,2:02.663,0,9.496,2:02.549
0,9.488,2:11.798,0,10.781,2:19.953,0,12.454,2:34.477,0,9.428,2:12.091,0,9.368,2:11.917
0,9.626,2:21.424,0,12.766,2:32.720,0,12.705,2:47.182,0,9.590,2:21.681,0,9.523,2:21.440
0,,,0,,,0,,,0,,,0,,
