Amanda OVERLAND POSITION,Amanda OVERLAND LAP TIME,Amanda OVERLAND ELAPSED TIME,Rozsa DARAZS POSITION,Rozsa DARAZS LAP TIME,Rozsa DARAZS ELAPSED TIME,Yuka KAMINO POSITION,Yuka KAMINO LAP TIME,Yuka KAMINO ELAPSED TIME,Kimberly DERRICK POSITION,Kimberly DERRICK LAP TIME,Kimberly DERRICK ELAPSED TIME
4,13.688,13.688,3,13.628,13.628,2,13.308,13.308,1,13.104,13.104
3,10.137,23.824,4,10.348,23.975,1,10.164,23.472,2,10.615,23.718
4,10.130,33.954,3,9.974,33.948,1,9.924,33.395,2,9.897,33.615
3,9.592,43.546,4,9.736,43.684,1,9.898,43.293,2,9.907,43.521
2,9.548,53.093,4,9.888,53.571,1,9.779,53.071,3,9.831,53.352
2,9.908,1:03.001,4,9.773,1:03.344,1,9.927,1:02.997,3,9.715,1:03.066
2,10.224,1:13.224,4,10.150,1:13.493,1,10.151,1:13.148,3,10.296,1:13.362
2,10.351,1:23.574,4,10.373,1:23.866,1,10.348,1:23.496,3,10.256,1:23.617
1,10.19,1:33.761,4,10.20,1:34.059,3,10.47,1:33.959,2,10.20,1:33.812
