NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME,Luca SPECHENHAUSER POSITION,Luca SPECHENHAUSER LAP TIME,Luca SPECHENHAUSER ELAPSED TIME,ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME
1,12.12,12.12,3,12.32,12.32,2,12.22,12.22,4,12.41,12.41
1,9.39,21.51,3,9.43,21.75,2,9.41,21.63,4,9.43,21.84
1,9.11,30.62,3,9.13,30.88,2,9.14,30.77,4,9.15,30.99
1,9.20,39.82,3,9.16,40.04,2,9.15,39.92,4,9.14,40.13
3,9.14,48.96,2,8.90,48.94,1,8.91,48.83,4,8.97,49.10
3,9.00,57.96,2,8.91,57.85,1,8.92,57.75,3,8.86,57.96
4,9.00,1:06.96,1,8.77,1:06.62,2,8.97,1:06.72,2,8.76,1:06.72
4,9.05,1:16.01,2,9.03,1:15.65,3,9.05,1:15.77,1,8.82,1:15.54
4,9.66,1:25.67,2,9.00,1:24.65,3,9.08,1:24.85,1,9.02,1:24.56
