Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME
1,6.63,6.63,2,6.86,6.86,4,7.28,7.28,3,7.04,7.04
1,9.07,15.70,2,9.04,15.90,4,8.96,16.24,3,9.17,16.21
1,8.63,24.33,2,8.63,24.53,4,8.63,24.87,3,8.47,24.68
2,9.07,33.40,1,8.73,33.26,4,8.79,33.66,3,8.92,33.60
3,9.36,42.755,1,8.90,42.154,4,9.19,42.848,2,8.94,42.538
