Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME
4,13.04,13.04,2,12.87,12.87,5,13.32,13.32,1,12.77,12.77,3,12.95,12.95
4,9.97,23.01,2,9.94,22.81,5,9.82,23.14,1,9.93,22.70,3,9.93,22.88
5,9.83,32.84,2,9.82,32.63,4,9.70,32.84,1,9.85,32.55,3,9.84,32.72
4,9.48,42.32,1,9.37,42.00,5,9.78,42.62,2,9.51,42.06,3,9.48,42.20
4,9.35,51.67,1,9.37,51.37,5,9.21,51.83,2,9.39,51.45,3,9.34,51.54
4,9.16,1:00.83,1,9.26,1:00.63,5,9.27,1:01.10,2,9.28,1:00.73,3,9.27,1:00.81
4,9.68,1:10.51,1,9.27,1:09.90,5,9.43,1:10.53,2,9.22,1:09.95,3,9.25,1:10.06
4,9.73,1:20.24,1,9.24,1:19.14,5,9.84,1:20.37,2,9.26,1:19.21,3,9.27,1:19.33
0,,PEN,1,9.26,1:28.396,4,10.05,1:30.415,2,9.23,1:28.435,3,9.21,1:28.533
