Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Tomas GRESCHNER POSITION,Tomas GRESCHNER LAP TIME,Tomas GRESCHNER ELAPSED TIME
1,13.577,13.577,3,13.863,13.863,2,13.829,13.829,4,14.068,14.068
1,10.356,23.932,2,10.568,24.431,3,10.696,24.525,4,10.562,24.630
1,10.446,34.378,3,10.329,34.759,2,10.220,34.744,4,10.329,34.958
1,10.092,44.470,3,10.131,44.889,2,10.083,44.827,4,10.140,45.098
1,10.121,54.591,2,9.960,54.849,3,10.053,54.880,4,10.004,55.101
2,9.835,1:04.426,1,9.525,1:04.374,3,9.696,1:04.575,4,9.677,1:04.778
2,9.407,1:13.832,1,9.225,1:13.598,3,9.260,1:13.835,4,9.334,1:14.112
2,9.246,1:23.078,3,9.484,1:23.082,1,9.205,1:23.039,4,9.557,1:23.669
3,9.74,1:32.814,2,9.72,1:32.797,1,9.55,1:32.581,4,9.52,1:33.184
