Sayuri SHIMIZU POSITION,Sayuri SHIMIZU LAP TIME,Sayuri SHIMIZU ELAPSED TIME,KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME
2,13.31,13.31,3,13.35,13.35,4,13.38,13.38,1,13.22,13.22
3,10.02,23.33,1,9.85,23.20,4,9.98,23.36,2,10.08,23.30
3,10.08,33.41,1,9.98,33.18,4,10.14,33.50,2,10.00,33.30
3,9.89,43.30,1,9.94,43.12,4,9.92,43.42,2,9.91,43.21
3,9.88,53.18,1,9.87,52.99,4,9.94,53.36,2,9.89,53.10
3,9.73,1:02.91,1,9.73,1:02.72,4,9.66,1:03.02,2,9.72,1:02.82
4,23.56,1:26.47,1,9.53,1:12.25,3,9.65,1:12.67,2,9.53,1:12.35
4,21.49,1:47.96,1,9.56,1:21.81,3,9.79,1:22.46,2,9.55,1:21.90
4,14.10,2:02.058,1,9.69,1:31.494,3,9.85,1:32.308,2,9.74,1:31.640
