Raya ZAHARIEVA POSITION,Raya ZAHARIEVA LAP TIME,Raya ZAHARIEVA ELAPSED TIME,Olena KORINCHUK POSITION,Olena KORINCHUK LAP TIME,Olena KORINCHUK ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME
2,17.04,17.04,1,16.87,16.87,3,17.30,17.30,4,17.43,17.43
2,12.98,30.02,1,13.05,29.92,3,13.00,30.30,4,13.02,30.45
2,12.58,42.60,1,12.57,42.49,3,12.69,42.99,4,12.66,43.11
2,11.74,54.34,1,11.71,54.20,3,11.65,54.64,4,11.68,54.79
2,10.76,1:05.10,1,10.81,1:05.01,3,10.60,1:05.24,4,10.55,1:05.34
4,10.23,1:15.33,3,10.19,1:15.20,1,9.76,1:15.00,2,9.84,1:15.18
4,9.90,1:25.23,3,9.86,1:25.06,1,9.34,1:24.34,2,9.27,1:24.45
4,9.92,1:35.15,3,9.99,1:35.05,1,9.59,1:33.93,2,9.58,1:34.03
4,10.17,1:45.316,3,10.16,1:45.207,1,9.67,1:43.600,2,9.68,1:43.710
