Paul WORTH POSITION,Paul WORTH LAP TIME,Paul WORTH ELAPSED TIME,KIM Yong-Sung POSITION,KIM Yong-Sung LAP TIME,KIM Yong-Sung ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME
1,6.90,6.90,2,6.95,6.95,3,7.00,7.00,4,7.22,7.22
1,9.28,16.19,2,9.43,16.38,4,9.71,16.71,3,9.15,16.38
1,8.74,24.94,2,8.79,25.18,4,8.61,25.33,3,8.81,25.20
1,9.03,33.97,3,9.03,34.21,4,9.02,34.36,2,8.80,34.00
3,9.36,43.329,2,8.93,43.136,4,9.13,43.481,1,9.00,42.999
