Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME,XU Hongzhi POSITION,XU Hongzhi LAP TIME,XU Hongzhi ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME,Kuandyk SULEYMENOV POSITION,Kuandyk SULEYMENOV LAP TIME,Kuandyk SULEYMENOV ELAPSED TIME
2,11.36,11.36,3,11.44,11.44,4,11.46,11.46,1,11.29,11.29,5,11.71,11.71,6,11.99,11.99
4,15.43,26.79,1,14.98,26.42,3,15.19,26.65,2,15.26,26.55,5,15.17,26.88,6,15.03,27.02
4,14.86,41.65,1,14.81,41.23,3,14.87,41.52,2,14.84,41.39,5,14.78,41.66,6,14.68,41.70
6,12.97,54.62,2,13.07,54.30,4,13.00,54.52,3,13.09,54.48,1,12.58,54.24,5,12.82,54.52
3,11.24,1:05.86,1,11.37,1:05.67,5,11.42,1:05.94,6,11.47,1:05.95,2,11.49,1:05.73,4,11.37,1:05.89
1,10.02,1:15.88,2,10.24,1:15.91,5,10.07,1:16.01,6,10.24,1:16.19,3,10.21,1:15.94,4,10.11,1:16.00
4,10.14,1:26.02,2,9.96,1:25.87,3,9.88,1:25.89,1,9.63,1:25.82,5,10.13,1:26.07,6,10.14,1:26.14
4,9.55,1:35.57,2,9.54,1:35.41,3,9.58,1:35.47,1,9.53,1:35.35,5,9.58,1:35.65,6,9.54,1:35.68
4,9.55,1:45.12,3,9.70,1:45.11,1,9.47,1:44.94,2,9.67,1:45.02,6,9.56,1:45.21,5,9.51,1:45.19
3,9.25,1:54.37,5,9.52,1:54.63,2,9.40,1:54.34,1,9.17,1:54.19,6,9.56,1:54.77,4,9.30,1:54.49
1,8.61,2:02.98,4,8.87,2:03.50,3,9.05,2:03.39,2,8.94,2:03.13,6,8.91,2:03.68,5,9.15,2:03.64
1,8.76,2:11.74,3,8.76,2:12.26,4,9.04,2:12.43,2,8.77,2:11.90,5,8.80,2:12.48,6,9.43,2:13.07
1,8.95,2:20.69,3,8.87,2:21.13,4,9.21,2:21.64,2,8.88,2:20.78,5,9.21,2:21.69,6,9.60,2:22.67
1,9.24,2:29.930,2,8.92,2:30.044,4,9.31,2:30.947,3,9.32,2:30.100,5,10.01,2:31.698,6,9.62,2:32.289
