Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Maxime FORTIN POSITION,Maxime FORTIN LAP TIME,Maxime FORTIN ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Hannes KROEGER POSITION,Hannes KROEGER LAP TIME,Hannes KROEGER ELAPSED TIME
2,14.13,14.13,4,14.34,14.34,1,14.03,14.03,3,14.26,14.26
3,11.03,25.16,4,11.00,25.34,1,11.02,25.05,2,10.87,25.13
2,10.26,35.42,1,10.01,35.35,3,10.40,35.45,4,10.43,35.56
1,9.27,44.69,2,9.65,45.00,3,9.66,45.11,4,9.74,45.30
1,9.17,53.86,2,8.98,53.98,3,8.95,54.06,4,9.04,54.34
1,9.21,1:03.07,3,9.20,1:03.18,2,9.10,1:03.16,4,9.12,1:03.46
3,9.29,1:12.36,2,9.16,1:12.34,1,9.11,1:12.27,4,9.26,1:12.72
3,9.51,1:21.87,2,9.23,1:21.57,1,9.23,1:21.50,4,9.48,1:22.20
3,9.85,1:31.715,2,9.47,1:31.033,1,9.37,1:30.868,4,9.68,1:31.880
