Lilia DZHUSTROVA POSITION,Lilia DZHUSTROVA LAP TIME,Lilia DZHUSTROVA ELAPSED TIME,ZYCH Magdalena POSITION,ZYCH Magdalena LAP TIME,ZYCH Magdalena ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME
5,13.64,13.64,2,13.12,13.12,1,13.00,13.00,3,13.22,13.22,4,13.43,13.43
5,9.92,23.56,2,9.92,23.04,1,9.89,22.89,3,9.92,23.14,4,9.83,23.26
5,9.73,33.29,2,9.68,32.72,1,9.66,32.55,3,9.61,32.75,4,9.68,32.94
5,9.88,43.17,4,9.54,42.26,1,9.46,42.01,2,9.38,42.13,3,9.31,42.25
5,10.32,53.49,4,9.57,51.83,1,9.42,51.43,2,9.42,51.55,3,9.39,51.64
5,10.79,1:04.28,4,9.63,1:01.46,1,9.60,1:01.03,3,9.64,1:01.19,2,9.49,1:01.13
5,11.23,1:15.51,4,10.00,1:11.46,2,9.88,1:10.91,3,9.75,1:10.94,1,9.58,1:10.71
5,11.82,1:27.33,4,10.43,1:21.89,3,10.28,1:21.19,2,9.70,1:20.64,1,9.84,1:20.55
5,12.04,1:39.379,4,10.86,1:32.753,3,11.09,1:32.281,2,9.88,1:30.526,1,9.94,1:30.493
