Tatiana BODOVA POSITION,Tatiana BODOVA LAP TIME,Tatiana BODOVA ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,Rumiana DIMITROVA POSITION,Rumiana DIMITROVA LAP TIME,Rumiana DIMITROVA ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,SONG Jaewon POSITION,SONG Jaewon LAP TIME,SONG Jaewon ELAPSED TIME
1,13.79,13.79,3,14.08,14.08,4,14.11,14.11,2,13.94,13.94,5,14.36,14.36
1,10.99,24.78,4,10.95,25.03,2,10.84,24.95,3,11.03,24.97,5,10.85,25.21
1,10.96,35.74,3,10.92,35.95,4,11.06,36.01,2,10.90,35.87,5,11.01,36.22
1,10.85,46.59,3,10.89,46.84,4,10.90,46.91,2,10.87,46.74,5,10.94,47.16
1,10.68,57.27,2,10.69,57.53,4,10.80,57.71,3,10.80,57.54,5,10.68,57.84
1,10.73,1:08.00,4,10.77,1:08.30,5,11.57,1:09.28,2,10.57,1:08.11,3,10.43,1:08.27
2,10.67,1:18.67,4,10.87,1:19.17,5,12.54,1:21.82,3,10.84,1:18.95,1,10.33,1:18.60
2,10.86,1:29.53,4,11.28,1:30.45,5,12.97,1:34.79,3,11.05,1:30.00,1,10.30,1:28.90
2,11.36,1:40.888,4,11.29,1:41.740,5,14.30,1:49.081,3,11.54,1:41.536,1,10.77,1:39.667
