KONG Xue POSITION,KONG Xue LAP TIME,KONG Xue ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Tina GRASSOW POSITION,Tina GRASSOW LAP TIME,Tina GRASSOW ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,CHOI Ji Hyun POSITION,CHOI Ji Hyun LAP TIME,CHOI Ji Hyun ELAPSED TIME
2,9.53,9.53,4,9.58,9.58,5,9.60,9.60,6,9.77,9.77,3,9.56,9.56,1,9.52,9.52
2,13.13,22.66,4,13.22,22.80,5,13.40,23.00,6,13.36,23.13,1,12.96,22.52,3,13.21,22.73
5,12.39,35.05,3,12.05,34.85,6,12.05,35.05,1,11.62,34.75,4,12.46,34.98,2,12.04,34.77
2,10.88,45.93,4,11.30,46.15,5,11.25,46.30,1,11.16,45.91,6,11.48,46.46,3,11.26,46.03
1,10.88,56.81,4,10.95,57.10,5,11.02,57.32,2,11.01,56.92,6,11.02,57.48,3,11.03,57.06
1,11.06,1:07.87,4,10.99,1:08.09,5,10.86,1:08.18,3,11.07,1:07.99,6,10.84,1:08.32,2,10.89,1:07.95
2,10.71,1:18.58,4,10.73,1:18.82,5,10.67,1:18.85,3,10.69,1:18.68,6,10.72,1:19.04,1,10.50,1:18.45
1,10.39,1:28.97,6,10.55,1:29.37,5,10.41,1:29.26,4,10.49,1:29.17,3,10.03,1:29.07,2,10.57,1:29.02
3,9.80,1:38.77,5,9.76,1:39.13,6,9.96,1:39.22,4,9.74,1:38.91,2,9.52,1:38.59,1,9.46,1:38.48
3,9.91,1:48.68,4,9.60,1:48.73,6,9.71,1:48.93,5,9.89,1:48.80,2,10.00,1:48.59,1,9.95,1:48.43
3,10.00,1:58.68,4,10.00,1:58.73,6,10.12,1:59.05,5,10.17,1:58.97,2,9.97,1:58.56,1,10.02,1:58.45
3,9.87,2:08.55,5,9.92,2:08.65,6,9.73,2:08.78,4,9.66,2:08.63,2,9.91,2:08.47,1,9.87,2:08.32
3,9.76,2:18.31,5,9.82,2:18.47,4,9.54,2:18.32,1,9.22,2:17.85,6,33.66,2:42.13,2,9.82,2:18.14
2,9.40,2:27.705,4,10.10,2:28.567,3,9.70,2:28.014,1,9.43,2:27.276,5,20.00,3:02.124,0,,PEN
