Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME,Rinat MAZHENOV POSITION,Rinat MAZHENOV LAP TIME,Rinat MAZHENOV ELAPSED TIME,Inan EREN POSITION,Inan EREN LAP TIME,Inan EREN ELAPSED TIME,Christiaan BOKKERINK POSITION,Christiaan BOKKERINK LAP TIME,Christiaan BOKKERINK ELAPSED TIME
1,13.79,13.79,2,13.92,13.92,4,14.18,14.18,3,14.06,14.06
1,10.97,24.76,2,10.95,24.87,4,10.87,25.05,3,10.89,24.95
1,10.78,35.54,3,10.87,35.74,4,10.81,35.86,2,10.68,35.63
1,10.36,45.90,3,10.28,46.02,4,10.32,46.18,2,10.36,45.99
1,9.99,55.89,3,10.05,56.07,4,10.08,56.26,2,10.02,56.01
2,9.71,1:05.60,3,9.69,1:05.76,4,9.70,1:05.96,1,9.57,1:05.58
2,9.30,1:14.90,3,9.32,1:15.08,4,9.62,1:15.58,1,9.26,1:14.84
2,9.16,1:24.06,3,9.43,1:24.51,4,9.82,1:25.40,1,9.09,1:23.93
2,9.27,1:33.323,3,9.85,1:34.352,4,9.99,1:35.390,1,9.17,1:33.100
