SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Mark CHONG POSITION,Mark CHONG LAP TIME,Mark CHONG ELAPSED TIME,Denali BLUNDEN POSITION,Denali BLUNDEN LAP TIME,Denali BLUNDEN ELAPSED TIME
1,6.86,6.86,3,7.13,7.13,2,6.98,6.98,4,7.39,7.39,5,7.69,7.69
2,8.89,15.75,3,8.83,15.96,1,8.72,15.70,4,8.95,16.34,5,9.52,17.21
2,8.53,24.28,3,8.39,24.35,1,8.40,24.10,4,8.67,25.01,5,9.17,26.38
3,8.57,32.85,2,8.42,32.77,1,8.53,32.63,4,8.77,33.78,5,9.34,35.72
3,8.82,41.67,2,8.68,41.45,1,8.77,41.40,4,8.91,42.69,5,9.54,45.26
