Sascha LAUBER POSITION,Sascha LAUBER LAP TIME,Sascha LAUBER ELAPSED TIME,Jean-Francois MONETTE POSITION,Jean-Francois MONETTE LAP TIME,Jean-Francois MONETTE ELAPSED TIME,Mark McNEE POSITION,Mark McNEE LAP TIME,Mark McNEE ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME
2,6.849,6.849,1,6.620,6.620,3,6.914,6.914,4,7.071,7.071
2,9.198,16.047,1,8.907,15.527,3,9.235,16.149,4,9.114,16.185
2,8.871,24.917,1,8.810,24.336,4,8.964,25.112,3,8.734,24.919
3,9.052,33.969,1,8.974,33.310,4,9.321,34.432,2,8.939,33.858
3,9.24,43.204,1,9.55,42.861,4,9.61,44.042,2,9.21,43.061
