SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Tyson HEUNG POSITION,Tyson HEUNG LAP TIME,Tyson HEUNG ELAPSED TIME,HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME
3,12.86,12.86,2,12.68,12.68,4,12.88,12.88,1,12.58,12.58
3,9.71,22.57,1,9.67,22.35,4,9.78,22.66,2,9.91,22.49
2,9.76,32.33,3,9.99,32.34,1,9.60,32.26,4,9.90,32.39
1,9.73,42.06,2,9.86,42.20,4,10.00,42.26,3,9.85,42.24
1,8.76,50.82,4,9.20,51.40,3,8.93,51.19,2,8.93,51.17
1,8.92,59.74,4,8.69,1:00.09,3,8.88,1:00.07,2,8.89,1:00.06
1,9.01,1:08.75,3,8.94,1:09.03,4,9.00,1:09.07,2,8.94,1:09.00
1,8.78,1:17.53,2,8.83,1:17.86,4,9.15,1:18.22,3,8.88,1:17.88
1,9.29,1:26.815,4,20.44,1:38.293,3,9.39,1:27.609,2,9.10,1:26.971
