HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,KIKUCHI Yuki POSITION,KIKUCHI Yuki LAP TIME,KIKUCHI Yuki ELAPSED TIME,Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME
2,8.99,8.99,4,9.31,9.31,3,9.15,9.15,1,8.89,8.89,5,9.47,9.47
2,12.36,21.35,4,12.35,21.66,3,12.33,21.48,1,12.30,21.19,5,12.35,21.82
2,11.64,32.99,5,11.71,33.37,3,11.62,33.10,1,11.65,32.84,4,11.53,33.35
2,11.26,44.25,5,11.28,44.65,3,11.24,44.34,1,11.30,44.14,4,11.12,44.47
2,11.48,55.73,5,11.48,56.13,3,11.50,55.84,1,11.47,55.61,4,11.49,55.96
3,10.86,1:06.59,1,10.30,1:06.43,4,10.85,1:06.69,2,10.85,1:06.46,5,10.83,1:06.79
3,9.76,1:16.35,1,9.72,1:16.15,4,9.78,1:16.47,2,9.78,1:16.24,5,9.70,1:16.49
4,9.90,1:26.25,2,9.89,1:26.04,5,9.89,1:26.36,3,9.91,1:26.15,1,9.38,1:25.87
4,9.49,1:35.74,2,9.38,1:35.42,5,9.48,1:35.84,3,9.41,1:35.56,1,9.38,1:35.25
4,9.43,1:45.17,2,9.43,1:44.85,5,9.46,1:45.30,3,9.38,1:44.94,1,9.45,1:44.70
4,9.45,1:54.62,2,9.44,1:54.29,5,9.53,1:54.83,3,9.54,1:54.48,1,9.59,1:54.29
4,9.65,2:04.27,1,9.44,2:03.73,5,9.62,2:04.45,3,9.55,2:04.03,2,9.60,2:03.89
4,9.97,2:14.24,1,9.55,2:13.28,5,9.88,2:14.33,3,9.67,2:13.70,2,9.67,2:13.56
4,10.35,2:24.590,1,9.89,2:23.166,5,10.37,2:24.692,3,10.19,2:23.886,2,10.23,2:23.781
