SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,Thibault CROLET POSITION,Thibault CROLET LAP TIME,Thibault CROLET ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Hazar KARAGOL POSITION,Hazar KARAGOL LAP TIME,Hazar KARAGOL ELAPSED TIME
5,9.73,9.73,4,9.69,,3,9.49,9.49,6,9.78,9.78,2,9.42,9.42,1,9.16,9.16,7,9.97,9.97
6,10.42,20.15,4,10.36,,3,10.45,19.94,5,10.35,20.13,2,9.66,19.08,1,9.62,18.78,7,10.35,20.32
6,9.68,29.83,4,9.49,,3,9.50,29.44,5,9.52,29.65,2,8.93,28.01,1,8.96,27.74,7,9.70,30.02
6,9.60,39.43,4,9.60,,3,9.57,39.01,5,9.59,39.24,2,8.89,36.90,1,8.95,36.69,7,9.56,39.58
6,9.52,48.95,4,9.50,,3,9.53,48.54,5,9.50,48.74,2,9.07,45.97,1,9.18,45.87,7,9.59,49.17
6,9.44,58.39,4,9.46,,3,9.46,58.00,5,9.46,58.20,2,9.43,55.40,1,9.44,55.31,7,9.38,58.55
6,9.30,1:07.69,4,9.33,,3,9.35,1:07.35,5,9.32,1:07.52,2,9.68,1:05.08,1,9.69,1:05.00,7,9.38,1:07.93
6,9.39,1:17.08,4,9.41,,3,9.36,1:16.71,5,9.42,1:16.94,1,9.64,1:14.72,2,10.02,1:15.02,7,9.66,1:17.59
6,9.37,1:26.45,4,9.30,,3,9.40,1:26.11,5,9.37,1:26.31,1,9.58,1:24.30,2,10.21,1:25.23,7,9.97,1:27.56
6,9.30,1:35.75,5,9.59,,4,9.53,1:35.64,3,9.12,1:35.43,1,9.67,1:33.97,2,10.13,1:35.36,7,10.51,1:38.07
5,9.82,1:45.57,4,9.42,,3,9.42,1:45.06,2,9.21,1:44.64,1,9.95,1:43.92,6,10.34,1:45.70,7,11.10,1:49.17
5,9.25,1:54.82,4,9.65,,3,9.66,1:54.72,1,9.46,1:54.10,2,10.19,1:54.11,6,10.76,1:56.46,7,11.41,2:00.58
2,9.64,2:04.46,4,9.80,,5,10.09,2:04.81,1,9.62,2:03.72,3,10.47,2:04.58,6,11.03,2:07.49,7,11.52,2:12.10
2,9.67,2:14.13,3,9.82,,5,10.71,2:15.52,1,9.91,2:13.63,4,10.69,2:15.27,5,11.49,2:18.975,6,11.57,2:23.672
