Kasandra BRADETTE POSITION,Kasandra BRADETTE LAP TIME,Kasandra BRADETTE ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,Federica TOMBOLATO POSITION,Federica TOMBOLATO LAP TIME,Federica TOMBOLATO ELAPSED TIME
1,13.72,13.72,2,13.81,13.81,3,13.90,13.90,4,14.06,14.06
2,11.26,24.98,1,11.11,24.92,3,11.11,25.01,4,11.11,25.17
3,11.14,36.12,2,11.09,36.01,1,10.99,36.00,4,11.19,36.36
2,9.97,46.09,3,10.28,46.29,1,10.01,46.01,4,10.07,46.43
2,9.76,55.85,3,9.72,56.01,1,9.73,55.74,4,9.72,56.15
2,9.87,1:05.72,3,9.80,1:05.81,1,9.88,1:05.62,4,9.78,1:05.93
2,9.90,1:15.62,3,9.93,1:15.74,1,9.94,1:15.56,4,9.97,1:15.90
2,9.98,1:25.60,3,10.05,1:25.79,1,9.98,1:25.54,4,10.10,1:26.00
1,9.98,1:35.579,3,10.53,1:36.319,2,10.16,1:35.693,4,10.48,1:36.472
