CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Kyle CARR POSITION,Kyle CARR LAP TIME,Kyle CARR ELAPSED TIME
1,13.06,13.06,3,13.26,13.26,2,13.12,13.12,4,13.47,13.47
1,10.51,23.57,3,10.52,23.78,2,10.55,23.67,4,10.49,23.96
1,10.24,33.81,3,10.18,33.96,2,10.21,33.88,4,10.21,34.17
1,10.23,44.04,3,10.28,44.24,2,10.25,44.13,4,10.25,44.42
2,9.84,53.88,3,9.83,54.07,1,9.75,53.88,4,9.80,54.22
2,9.24,1:03.12,3,9.20,1:03.27,1,9.15,1:03.03,4,9.21,1:03.43
2,9.08,1:12.20,3,9.05,1:12.32,1,9.08,1:12.11,4,9.04,1:12.47
3,8.94,1:21.14,2,8.81,1:21.13,1,8.85,1:20.96,4,8.90,1:21.37
3,8.92,1:30.055,2,8.75,1:29.877,1,8.91,1:29.861,4,9.13,1:30.499
