ANTONIOLI Mattia POSITION,ANTONIOLI Mattia LAP TIME,ANTONIOLI Mattia ELAPSED TIME,Mateusz KRZEMINSKI POSITION,Mateusz KRZEMINSKI LAP TIME,Mateusz KRZEMINSKI ELAPSED TIME,AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME
4,12.57,12.57,2,12.40,12.40,1,12.30,12.30,5,12.73,12.73,3,12.49,12.49
5,9.70,22.27,3,9.63,22.03,2,9.64,21.94,1,9.20,21.93,4,9.60,22.09
5,9.30,31.57,3,9.36,31.39,2,9.33,31.27,1,9.24,31.17,4,9.36,31.45
4,8.97,40.54,3,9.04,40.43,2,9.05,40.32,1,9.04,40.21,5,18.76,50.21
3,8.87,49.41,4,9.09,49.52,2,8.96,49.28,1,8.98,49.19,5,10.22,1:00.43
3,8.90,58.31,4,8.98,58.50,2,8.92,58.20,1,8.91,58.10,5,9.62,1:10.05
3,8.99,1:07.30,4,8.95,1:07.45,2,8.97,1:07.17,1,8.95,1:07.05,5,9.54,1:19.59
3,9.00,1:16.30,4,9.24,1:16.69,2,9.01,1:16.18,1,9.01,1:16.06,5,9.66,1:29.25
3,9.17,1:25.472,4,9.60,1:26.292,2,9.15,1:25.33,1,9.20,1:25.26,5,9.72,1:38.971
