Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,Matthew FULLER POSITION,Matthew FULLER LAP TIME,Matthew FULLER ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME
1,6.82,6.82,4,7.32,7.32,2,6.91,6.91,3,7.04,7.04
1,9.24,16.06,4,9.32,16.64,2,9.25,16.16,3,9.20,16.24
3,9.06,25.12,4,9.01,25.65,2,8.85,25.01,1,8.63,24.87
3,9.07,34.19,4,9.18,34.83,2,9.01,34.02,1,9.05,33.92
3,9.17,43.355,4,9.40,44.223,2,9.16,43.179,1,9.19,43.101
