NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME,Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME
2,13.78,13.78,3,13.89,13.89,1,13.64,13.64,4,13.89,13.89
3,10.22,24.00,1,9.89,23.78,2,10.23,23.87,4,10.37,24.26
1,9.41,33.41,2,9.70,33.48,3,9.70,33.57,4,9.58,33.84
1,10.00,43.41,3,10.10,43.58,2,9.93,43.50,4,9.96,43.80
1,10.04,53.45,3,10.08,53.66,2,10.04,53.54,4,10.11,53.91
1,9.80,1:03.25,3,9.86,1:03.52,2,9.85,1:03.39,4,9.81,1:03.72
1,9.24,1:12.49,3,9.20,1:12.72,2,9.23,1:12.62,4,9.02,1:12.74
2,9.18,1:21.67,4,9.24,1:21.96,3,9.21,1:21.83,1,8.92,1:21.66
2,9.22,1:30.881,4,9.27,1:31.231,3,9.38,1:31.206,1,9.13,1:30.785
