Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME
2,13.14,13.14,3,13.27,13.27,1,13.06,13.06,5,13.50,13.50,4,13.38,13.38
1,9.90,23.04,3,9.98,23.25,2,10.07,23.13,5,9.99,23.49,4,9.97,23.35
1,9.71,32.75,4,9.70,32.95,2,9.72,32.85,5,9.63,33.12,3,9.58,32.93
1,9.10,41.85,4,9.20,42.15,2,9.08,41.93,5,9.15,42.27,3,9.12,42.05
2,9.08,50.93,4,8.97,51.12,1,8.92,50.85,5,9.02,51.29,3,9.00,51.05
3,9.11,1:00.04,1,8.70,59.82,2,9.10,59.95,5,8.98,1:00.27,4,9.10,1:00.15
3,8.81,1:08.85,1,8.79,1:08.61,2,8.79,1:08.74,5,9.00,1:09.27,4,8.83,1:08.98
3,8.72,1:17.57,2,8.77,1:17.38,1,8.63,1:17.37,5,9.31,1:18.58,4,8.74,1:17.72
3,8.84,1:26.408,2,8.97,1:26.341,1,8.85,1:26.176,5,9.85,1:28.411,4,8.95,1:26.658
