KIM Min-Jee POSITION,KIM Min-Jee LAP TIME,KIM Min-Jee ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,YANG A Yang POSITION,YANG A Yang LAP TIME,YANG A Yang ELAPSED TIME,Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME
4,14.558,14.558,3,14.556,14.556,1,14.287,14.287,2,14.294,14.294
4,10.281,24.839,3,10.283,24.839,1,10.338,24.624,2,10.489,24.782
1,9.439,34.277,3,9.723,34.561,2,9.718,34.341,4,9.889,34.670
1,9.970,44.247,4,9.873,44.433,2,9.948,44.289,3,9.705,44.375
1,10.099,54.345,4,10.074,54.507,2,10.069,54.357,3,10.032,54.407
4,21.646,1:15.991,1,10.027,1:04.533,3,18.192,1:12.548,2,10.415,1:04.822
4,13.362,1:29.352,2,12.321,1:16.854,3,12.381,1:24.929,1,11.705,1:16.526
4,11.217,1:40.568,2,12.435,1:29.289,3,12.080,1:37.009,1,12.065,1:28.590
0,,DQ,1,13.05,1:42.337,2,12.41,1:49.414,0,,DQ
