Cees JUFFERMANS POSITION,Cees JUFFERMANS LAP TIME,Cees JUFFERMANS ELAPSED TIME,OH Se-Jong POSITION,OH Se-Jong LAP TIME,OH Se-Jong ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,GUO Wei POSITION,GUO Wei LAP TIME,GUO Wei ELAPSED TIME,Matthieu de BOISSET POSITION,Matthieu de BOISSET LAP TIME,Matthieu de BOISSET ELAPSED TIME
3,8.603,8.603,5,9.011,9.011,2,8.592,8.592,4,8.900,8.900,1,8.496,8.496
3,11.443,20.045,5,11.361,20.372,2,11.452,20.044,4,11.267,20.167,1,11.467,19.963
2,11.203,31.248,5,11.234,31.606,1,11.128,31.171,3,11.113,31.279,4,11.534,31.496
3,10.943,42.190,5,10.823,42.428,2,10.906,42.076,1,10.717,41.996,4,10.848,42.344
3,10.327,52.517,4,10.381,52.809,1,10.290,52.366,2,10.519,52.514,5,10.478,52.822
2,10.439,1:02.955,4,10.393,1:03.201,3,10.621,1:02.986,1,10.434,1:02.948,5,10.598,1:03.420
3,10.184,1:13.139,1,9.747,1:12.948,4,10.220,1:13.205,2,10.011,1:12.958,5,9.886,1:13.305
3,9.570,1:22.709,2,9.690,1:22.637,4,9.518,1:22.723,1,9.596,1:22.554,5,9.600,1:22.905
3,9.477,1:32.186,4,9.588,1:32.224,1,9.275,1:31.998,2,9.529,1:32.082,5,9.650,1:32.555
4,9.547,1:41.733,3,9.465,1:41.689,1,9.515,1:41.512,2,9.493,1:41.575,5,9.742,1:42.296
2,9.517,1:51.250,4,9.625,1:51.313,1,9.635,1:51.146,3,9.693,1:51.268,5,10.002,1:52.298
3,9.526,2:00.775,4,9.510,2:00.823,1,9.526,2:00.672,2,9.473,2:00.740,5,10.350,2:02.647
4,9.603,2:10.377,3,9.552,2:10.375,1,9.589,2:10.261,2,9.597,2:10.337,5,11.094,2:13.740
3,9.73,2:20.103,0,,DQ,1,9.59,2:19.849,2,9.71,2:20.043,4,10.38,2:24.117
