Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,KOLENC Martin POSITION,KOLENC Martin LAP TIME,KOLENC Martin ELAPSED TIME
3,13.60,13.60,1,13.49,13.49,2,13.57,13.57,4,13.79,13.79
1,10.76,24.36,2,10.87,24.36,3,10.84,24.41,4,10.84,24.63
2,10.04,34.40,1,10.00,34.36,3,10.08,34.49,4,9.98,34.61
2,9.63,44.03,1,9.59,43.95,3,9.65,44.14,4,9.65,44.26
1,9.44,53.47,2,9.65,53.60,3,9.51,53.65,4,9.62,53.88
1,9.37,1:02.84,2,9.34,1:02.94,3,9.38,1:03.03,4,9.58,1:03.46
1,9.22,1:12.06,2,9.22,1:12.16,3,9.21,1:12.24,4,9.69,1:13.15
1,9.23,1:21.29,2,9.24,1:21.40,3,9.28,1:21.52,4,10.01,1:23.16
1,9.40,1:30.681,2,9.44,1:30.840,3,9.39,1:30.909,4,10.22,1:33.372
