CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,PENCHEVA Zornica POSITION,PENCHEVA Zornica LAP TIME,PENCHEVA Zornica ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME
3,13.87,13.87,2,13.67,13.67,4,14.04,14.04,1,13.54,13.54
3,10.45,24.32,2,10.51,24.18,4,10.39,24.43,1,10.48,24.02
3,10.10,34.42,2,10.11,34.29,4,10.12,34.55,1,10.14,34.16
3,10.01,44.43,2,10.01,44.30,4,9.96,44.51,1,10.05,44.21
3,9.99,54.42,2,10.01,54.31,4,10.06,54.57,1,10.00,54.21
3,9.72,1:04.14,2,9.72,1:04.03,4,9.81,1:04.38,1,9.80,1:04.01
2,9.42,1:13.56,1,9.41,1:13.44,4,10.01,1:14.39,3,9.91,1:13.92
2,9.40,1:22.96,1,9.51,1:22.95,4,10.29,1:24.68,3,10.04,1:23.96
1,9.53,1:32.487,2,9.73,1:32.680,4,10.67,1:35.341,3,10.41,1:34.362
