ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME,Ryuta INOUE POSITION,Ryuta INOUE LAP TIME,Ryuta INOUE ELAPSED TIME,SITNIKOV Pavel POSITION,SITNIKOV Pavel LAP TIME,SITNIKOV Pavel ELAPSED TIME,PARK Jang Hyuk POSITION,PARK Jang Hyuk LAP TIME,PARK Jang Hyuk ELAPSED TIME,MILOVANOV Sergei POSITION,MILOVANOV Sergei LAP TIME,MILOVANOV Sergei ELAPSED TIME
1,12.48,12.48,4,12.89,12.89,2,12.61,12.61,5,13.17,13.17,3,12.71,
1,10.14,22.62,3,9.85,22.74,2,10.07,22.68,5,9.73,22.90,4,10.07,
2,9.43,32.05,1,9.26,32.00,3,9.50,32.18,5,9.49,32.39,4,9.49,
3,9.71,41.76,1,9.59,41.59,5,9.63,41.81,4,9.38,41.77,2,9.40,
4,9.33,51.09,2,9.17,50.76,5,9.36,51.17,1,8.84,50.61,3,9.19,
4,8.91,1:00.00,2,9.04,59.80,5,8.97,1:00.14,1,9.08,59.69,3,9.04,
4,9.26,1:09.26,2,9.00,1:08.80,3,9.02,1:09.16,1,8.99,1:08.68,5,9.48,
5,9.81,1:19.07,2,9.05,1:17.85,3,9.07,1:18.23,1,9.08,1:17.76,4,9.51,
5,10.03,1:29.10,2,9.32,1:27.17,3,9.24,1:27.47,1,9.33,1:27.09,4,9.75,
