Cole KRUEGER POSITION,Cole KRUEGER LAP TIME,Cole KRUEGER ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Mark PRINSEN POSITION,Mark PRINSEN LAP TIME,Mark PRINSEN ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME,Kuandyk SULEYMENOV POSITION,Kuandyk SULEYMENOV LAP TIME,Kuandyk SULEYMENOV ELAPSED TIME
2,10.98,10.98,3,11.12,11.12,1,10.83,10.83,5,11.43,11.43,4,11.29,11.29,7,11.79,11.79,6,11.73,11.73
3,14.64,25.62,4,14.62,25.74,2,14.65,25.48,7,14.55,25.98,5,14.56,25.85,1,13.56,25.35,6,14.19,25.92
4,11.66,37.28,5,11.73,37.47,2,11.60,37.08,7,11.79,37.77,6,11.72,37.57,3,11.84,37.19,1,11.09,37.01
5,11.15,48.43,6,11.08,48.55,2,11.07,48.15,7,10.88,48.65,1,10.49,48.06,4,11.15,48.34,3,11.22,48.23
5,10.36,58.79,6,10.36,58.91,2,10.40,58.55,7,10.41,59.06,1,10.37,58.43,4,10.37,58.71,3,10.36,58.59
7,10.71,1:09.50,5,10.44,1:09.35,4,10.73,1:09.28,1,9.98,1:09.04,2,10.64,1:09.07,6,10.77,1:09.48,3,10.67,1:09.26
6,9.81,1:19.31,2,9.79,1:19.14,5,10.02,1:19.30,1,9.99,1:19.03,3,10.11,1:19.18,7,9.90,1:19.38,4,9.92,1:19.18
4,10.16,1:29.47,2,10.10,1:29.24,7,10.60,1:29.90,1,10.10,1:29.13,3,10.15,1:29.33,6,10.37,1:29.75,5,10.47,1:29.65
4,9.80,1:39.27,2,9.82,1:39.06,7,9.74,1:39.64,1,9.83,1:38.96,3,9.79,1:39.12,6,9.78,1:39.53,5,9.77,1:39.42
3,9.46,1:48.73,4,9.80,1:48.86,7,9.57,1:49.21,1,9.71,1:48.67,2,9.61,1:48.73,6,9.54,1:49.07,5,9.46,1:48.88
1,8.82,1:57.55,4,9.32,1:58.18,7,9.36,1:58.57,2,9.08,1:57.75,3,9.15,1:57.88,5,9.34,1:58.41,6,9.57,1:58.45
1,8.92,2:06.47,4,9.32,2:07.50,6,9.33,2:07.90,2,8.87,2:06.62,3,8.84,2:06.72,5,9.34,2:07.75,7,9.57,2:08.02
1,9.09,2:15.56,4,9.32,2:16.82,6,9.28,2:17.18,2,9.04,2:15.66,3,9.08,2:15.80,5,9.28,2:17.03,7,9.50,2:17.52
1,9.24,2:24.794,4,9.68,2:26.499,6,9.53,2:26.707,3,10.83,2:26.484,2,9.12,2:24.919,5,9.59,2:26.617,7,9.58,2:27.100
