LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME,Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME
1,13.39,13.39,5,21.61,21.61,3,13.59,13.59,2,13.49,13.49,4,13.68,13.68
1,10.64,24.03,5,15.94,37.55,2,10.48,24.07,3,10.60,24.09,4,10.59,24.27
2,10.40,34.43,5,12.37,49.92,1,10.19,34.26,3,10.43,34.52,4,10.34,34.61
2,10.31,44.74,5,11.99,1:01.91,1,10.36,44.62,3,10.30,44.82,4,10.32,44.93
2,9.92,54.66,5,13.39,1:15.30,1,9.91,54.53,3,9.93,54.75,4,9.91,54.84
2,9.95,1:04.61,5,11.68,1:26.98,1,9.97,1:04.50,3,9.96,1:04.71,4,9.98,1:04.82
1,9.59,1:14.20,5,11.79,1:38.77,2,9.84,1:14.34,3,9.76,1:14.47,4,9.70,1:14.52
1,9.60,1:23.80,5,11.85,1:50.62,2,9.56,1:23.90,4,9.72,1:24.19,3,9.39,1:23.91
1,9.64,1:33.439,5,11.57,2:02.187,3,9.91,1:33.802,4,9.97,1:34.160,2,9.71,1:33.613
